sample	lane	fq1	fq2
WTprep1	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/dmangana/FASTQ/180227/Sample_OrgWT_plusWNT_ATAC_rep1_S18205/OrgWT_plusWNT_ATAC_rep1_S18205_CGTACT_L008_R1_001.fastq.gz	
WTprep1	lane2	/hpcnfs/techunits/genomics/PublicData/Pasini/dmangana/FASTQ/180227/Sample_OrgWT_plusWNT_ATAC_rep1_S18205/OrgWT_plusWNT_ATAC_rep1_S18205_CGTACT_L008_R1_002.fastq.gz	
WTprep1	lane3	/hpcnfs/techunits/genomics/PublicData/Pasini/dmangana/FASTQ/180227/Sample_OrgWT_plusWNT_ATAC_rep1_S18205/OrgWT_plusWNT_ATAC_rep1_S18205_CGTACT_L008_R1_003.fastq.gz	
WTprep1	lane4	/hpcnfs/techunits/genomics/PublicData/Pasini/dmangana/FASTQ/180227/Sample_OrgWT_plusWNT_ATAC_rep1_S18205/OrgWT_plusWNT_ATAC_rep1_S18205_CGTACT_L008_R1_004.fastq.gz	
WTprep1	lane5	/hpcnfs/techunits/genomics/PublicData/Pasini/dmangana/FASTQ/180227/Sample_OrgWT_plusWNT_ATAC_rep1_S18205/OrgWT_plusWNT_ATAC_rep1_S18205_CGTACT_L008_R1_005.fastq.gz	
WTprep1	lane6	/hpcnfs/techunits/genomics/PublicData/Pasini/dmangana/FASTQ/180227/Sample_OrgWT_plusWNT_ATAC_rep1_S18205/OrgWT_plusWNT_ATAC_rep1_S18205_CGTACT_L008_R1_006.fastq.gz	
WTprep2	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/dmangana/FASTQ/190320_A00302_0059_AH53NCDRXX/Sample_S21754_OrgWTplusWNT_ATAC-rep1b/S21754_OrgWTplusWNT_ATAC-rep1b_S19_L002_R1_001.fastq.gz	
bCATrep1	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/dmangana/FASTQ/180309/Sample_OrgbCAT_ATAC_rep1_S18267/OrgbCAT_ATAC_rep1_S18267_CGTACT_L008_R1_001.fastq.gz	
bCATrep1	lane2	/hpcnfs/techunits/genomics/PublicData/Pasini/dmangana/FASTQ/180309/Sample_OrgbCAT_ATAC_rep1_S18267/OrgbCAT_ATAC_rep1_S18267_CGTACT_L008_R1_002.fastq.gz	
bCATrep1	lane3	/hpcnfs/techunits/genomics/PublicData/Pasini/dmangana/FASTQ/180323/Sample_OrgbCAT_ATAC_rep1_S18267/OrgbCAT_ATAC_rep1_S18267_S16_L001_R1_001.fastq.gz	
bCATrep1b	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/dmangana/FASTQ/190320_A00302_0059_AH53NCDRXX/Sample_S21755_OrgCTNNB1_ATAC-rep1b/S21755_OrgCTNNB1_ATAC-rep1b_S20_L002_R1_001.fastq.gz	
bCATrep1c	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/dmangana/FASTQ/190320_A00302_0059_AH53NCDRXX/Sample_S21781_Org_CTNNB1_ATAC_rep1c/S21781_Org_CTNNB1_ATAC_rep1c_S22_L002_R1_001.fastq.gz	

